condition_id,persona_category,confidence_level,model_key,HR,HR_CI_lo,HR_CI_hi,AR,n
authority_medium,authority,medium,claude-3-haiku,0.3851203501094092,0.363983508798698,0.407244785949506,0.08270676691729323,1995
authority_medium,authority,medium,gemini-1.5-flash,0.31769505354411015,0.29836821423840515,0.33794479933261007,0.013533834586466165,1995
authority_medium,authority,medium,gpt-4o-mini,0.3436078827690753,0.3232012355445757,0.3662666153889255,0.0,1995
authority_strong,authority,strong,claude-3-haiku,0.41718106995884774,0.3955641492691422,0.43969948294432565,0.02556390977443609,1995
authority_strong,authority,strong,gemini-1.5-flash,0.32979261507334345,0.3095226094470046,0.34914468797860954,0.008521303258145364,1995
authority_strong,authority,strong,gpt-4o-mini,0.3501513622603431,0.3282712130949636,0.3718480791499442,0.0,1995
authority_weak,authority,weak,claude-3-haiku,0.4109808102345416,0.38896766821117795,0.43163238396624476,0.05964912280701754,1995
authority_weak,authority,weak,gemini-1.5-flash,0.3067951318458418,0.28701098561214655,0.3257232724042692,0.007518796992481203,1995
authority_weak,authority,weak,gpt-4o-mini,0.35306019221041984,0.33316007865823505,0.3738647830474268,0.002506265664160401,1995
length_control_none,length_control,none,claude-3-haiku,0.40425531914893614,0.3820011879486402,0.42574370115416615,0.056140350877192984,1995
length_control_none,length_control,none,gemini-1.5-flash,0.30831643002028397,0.2870102248584707,0.3275862068965517,0.009523809523809525,1995
length_control_none,length_control,none,gpt-4o-mini,0.35850956696878145,0.3373674724584954,0.3787953060011883,0.0,1995
neutral_none,neutral,none,claude-3-haiku,0.4136316337148803,0.3910538842937365,0.43399955612546853,0.03558897243107769,1995
neutral_none,neutral,none,gemini-1.5-flash,0.30243161094224924,0.2828928195107637,0.3215348744468457,0.009022556390977444,1995
neutral_none,neutral,none,gpt-4o-mini,0.3606639839034205,0.34087481146304677,0.38287261243243925,0.0010025062656641604,1995
non_expert_none,non_expert,none,claude-3-haiku,0.38395061728395063,0.36037721245399845,0.4079313058377804,0.18646616541353384,1995
non_expert_none,non_expert,none,gemini-1.5-flash,0.2818232351306281,0.2617168012056541,0.3040632497108795,0.09323308270676692,1995
non_expert_none,non_expert,none,gpt-4o-mini,0.3377551020408163,0.31720729796167074,0.358634742740703,0.012030075187969926,1995
professional_medium,professional,medium,claude-3-haiku,0.38028953229398665,0.35765915334969844,0.40125302571942983,0.09824561403508772,1995
professional_medium,professional,medium,gemini-1.5-flash,0.32286302780638515,0.3027755555437587,0.34208629616954395,0.02456140350877193,1995
professional_medium,professional,medium,gpt-4o-mini,0.3509127789046653,0.3306164034640856,0.3726644509951255,0.006015037593984963,1995
professional_strong,professional,strong,claude-3-haiku,0.40790176187933797,0.3868517849400202,0.42941763687231976,0.06015037593984962,1995
professional_strong,professional,strong,gemini-1.5-flash,0.32553407934893186,0.3045901572372721,0.3457825488548288,0.012030075187969926,1995
professional_strong,professional,strong,gpt-4o-mini,0.345159655347187,0.3253921973072678,0.3667365959515725,0.005513784461152882,1995
professional_weak,professional,weak,claude-3-haiku,0.37543053960964407,0.3514411944945923,0.39783673028328237,0.12531328320802004,1995
professional_weak,professional,weak,gemini-1.5-flash,0.29365495542737285,0.27386979251013266,0.3125049186778594,0.042606516290726815,1995
professional_weak,professional,weak,gpt-4o-mini,0.34379746835443037,0.3241885955781321,0.3643277730923813,0.005513784461152882,1995
